;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
tmt' 挑毛剔刺儿
tmt; 土默特 天目通
tmtc 太烫
tmtd 套图
tmtf 塔马塔夫
tmtg 听没听过
tmtk 套题
tmtl 通明透亮
tmtm 太太
tmto 套筒
tmtr 太疼 太痛
tmts 厅堂
tmtu 太土
tmtw 套头
tmtx 同名同姓
tmtz 体貌特征
tmv; 帖木儿
tmvd 太凹
tmvg 天命有归
tmvi 套儿
tmvk 太暗
tmvm 太有
tmvo 太矮
tmvp 他们安排
tmvq 甜蜜爱情
tmvr 推门而入
tmvu 太爱
tmvy 碳铵
tmw' 他们为什么
tmwb 太尉
tmwc 太污
tmwg 他没玩过
tmwi 厅外
tmwj 同名文件
tmwk 太晚
tmwm 太戊
tmwn 套娃
tmwq 套问
tmwr 太弯
tmws 铁面无私
tmwu 太翁
tmx; 汤姆逊
tmxb 他们下班
tmxc 太溪
tmxe 套袖
tmxf 太想 太虚
tmxg 太小
tmxh 套鞋
tmxk 天马行空
tmxl 套现
tmxm 太咸
tmxp 太行
tmxq 太闲 痰迷心窍
tmxr 太玄
tmxs 太像 同名小说 听命行事
tmxu 太凶
tmxv 太细
tmxw 太学
tmxy 太息
tmxz 唾沫星子
tmy' 条码阅读器 他们也没有
tmy; 同命运
tmyb 他们已把
tmyc 太渊
tmye 套语
tmyf 同母异父
tmyg 他们应该
tmyh 太严 太要
tmyi 套用
tmyj 他们已经 他们一家
tmyk 太医
tmyl 太远
tmym 太原
tmyo 碳氧
tmyq 他们一起 他们要去
tmyu 太乙 太爷
tmyx 太阳
tmyy 太岳
tmyz 他们一直 他们要走
tmz' 他们自己的
tmz; 他们在 铁木真 同盟者 投名状 提名者
tmzd 套账 厅中 他们知道 她们知道
tmze 太祖
tmzf 太占
tmzg 唾面自干 他没找过
tmzh 太直
tmzi 太杂
tmzj 他们之间 她们自己 同名专辑 他们自己 脱帽致敬 它们之间 他们在家
tmzk 太早
tmzm 套在
tmzn 天命之年
tmzo 太重 厅长 套种
tmzp 太脏
tmzr 套装
tmzs 套住
tmzt 太糟
tmzw 太窄
tmzx 太子 套子 厅子 砣子
tmzz 他们正在
tn 她
tna 帑
tnau 媞
tnb' 糖尿病肾病 糖尿病研究 糖尿病患者 糖尿病治疗 糖尿病药物
tnb; 糖尿病
tnba 她吧
tnbc 替你报仇
tnbe 她被
tnbj 她把
tnbm 她不
tnbr 糖尿病人
tnbs 她便
tnbt 她并
tnbu 她爸
tnbz 糖尿病足
tncb 体能储备
tncg 帑藏
tnch 她才
tncj 同年参加
tncl 太能吹了
tnco 她称
tncs 她从
tnct 她曾
tncw 她穿
tncx 她出
tncy 体能测验
tnd; 他娘的 童年的
tndb 天南地北
tndc 她对
tndh 她都
tndj 她打
tndk 她到
tndl 太难等了
tndn 拖男带女
tndo 她等
tndp 她得
tnds 她倒 拖泥带水
tndt 迢递
tndy 她的
tne 婷
tneu 迢
tnf; 团年饭
tnfb 头脑风暴
tnfr 她放 头脑发热
tnfz 头脑发胀
tng; 它能够
tnga 她跟
tngb 她敢
tngd 她刚
tnge 她该
tngh 她更
tngj 她搞
tngl 太那个了 太能干了
tngs 他能干啥
tngv 她给
tnh; 太难喝
tnhb 天南海北
tnhd 她回
tnhl 童年欢乐
tnhm 她还
tnhn 她好
tnho 她和
tnhp 她很
tnhs 她会
tnhx 讨你欢心
tnj; 唐宁街 同年级
tnja 她叫
tnjd 她见 头脑简单
tnje 她讲
tnjj 她接
tnjk 听你讲课
tnjn 她姐
tnjr 她就
tnjs 听你解释
tnjw 她家
tnk; 特难看
tnka 她哭
tnkf 她肯
tnkh 她可
tnko 她看
tnkx 头脑空虚
tnl; 太难了 兔女郎 糖耐量 泰诺林
tnlh 头脑灵活
tnlj 她来
tnlk 她连
tnlr 她离
tnls 她俩
tnlx 她了
tnm; 碳纳米
tnmc 她没
tnmg 碳纳米管
tnmh 她卖
tnmj 她摸
tnmn 她妈
tnms 她们
tnmt 婷美
tnmu 她买
tnn' 塔那那利佛
tnn; 甜腻腻
tnna 她呢
tnnb 她那
tnnc 她能
tnnd 他奶奶的
tnph 体内平衡
tnpj 她拍
tnpw 她怕
tnq; 太年轻
tnqc 头脑清楚
tnqf 体内缺乏
tnqh 她求
tnqn 拖男挈女
tnqu 她去 她却
tnqw 探囊取物
tnqx 头脑清醒
tnr; 它能让
tnre 她让
tnrs 她仍
tnry 天怒人怨
tns; 突尼斯 洮南市 吐弄舌 听你说
tnsa 她虽
tnsd 她睡
tnse 她说
tnsf 体内水分
tnsh 天女散花
tnsj 她手 体内射精
tnsk 她是
tnsl 太能说了
tnsp 她所
tnsq 童年时期
tnst 她送
tnsu 她受
tnt' 他念他翁山 同年同月同日
tnta 她听
tntd 她同
tntj 她挺
tntm 她太
tntn 迢迢
tntr 同年同日
tnts 她他
tnty 同年同月
tnu 嬥 她
tnvd 听女儿的
tnvm 她有
tnvs 听女儿说
tnvu 她爱
tnvy 同年而语
tnwc 天内完成
tnwl 她玩
tnwq 她问
tnwt 她为
tnx; 天南星 田纳西 塔诺西
tnxc 她洗
tnxe 她写
tnxf 她想
tnxl 体能训练
tnxo 她先
tnxs 她像
tnxy 她向
tnxz 田纳西州
tny; 她那样
tnyb 她已
tnyc 她又
tnyd 她因
tnyh 她要
tnyi 她用
tnyk 她与
tnyl 迢远 她于 太难用了
tnyq 同你一起
tnyr 她应 头脑一热
tnyu 迢遥
tnyx 她也
tnyy 同你一样
tnz; 头脑中 铁娘子
tnza 她只
tnzc 鸵鸟政策
tnzh 她再
tnzj 她找
tnzk 她最
tnzl 太难做了
tnzm 她在
tnzr 她这 她站
tnzs 她做 她住 他能做啥
tnzt 她总
tnzu 她走
tnzy 她自
to 特
toa 筒
toba 特别
tobd 颓败
tobf 特步
tobi 甜饼
tobj 特把 特报
tobk 特比
tobm 廷布
tobn 特办
tobo 秃笔
tobr 特病
tobs 特保
toby 透白
toca 特吹
tocc 透澈
tocf 特此
tocg 甜菜
tock 特车
tocm 颓残
toco 特长
tocp 透彻
tocr 特产
tocs 特传
toct 特差
tocx 透出
tocy 特错
todc 特对 特淡
todd 特典
tode 特调
todf 特点 甜点
todh 透顶 秃顶 颓顶
todi 特多
todj 舔掉
todk 特到
todm 特大
todo 特等
todp 甜得 特德
todr 透底
todt 筒灯
todu 特地
todw 特定
tody 甜的
toe 透
toei 穜
toeo 毯
tofg 廷芳
tofi 透风
tofn 秃发
tofo 特符
tofp 特服
tofr 颓废
toft 特烦
tofu 特番
tofx 特附
togd 特岗
toge 特该
togh 透过 特工 特攻 甜歌
togi 舔狗
togm 特顾
togo 特稿
togp 甜瓜
togr 特高
togs 透光
togt 舔盖
togw 特怪
togy 特钢
toha 特号
tohc 透汗
tohe 透话
tohh 特惠
tohi 特狠
tohj 特护
tohl 廷珩
tohm 特厚
tohn 特好
tohs 特化
tohu 颓坏
toi 甜 特
toia 箨
toii 舔
toio 颓
tojc 甜酒
tojf 甜椒
tojg 特警
tojh 特教
toji 特急
tojj 特技
tojk 特辑
tojl 透进
tojo 特简
tojr 秃鹫
tojs 特价
tojt 甜卷
tojv 特级
tojy 透镜
toka 甜口
tokc 特渴
tokd 特困
toke 筒裤
tokh 特酷
tokl 特刊
tokm 特夸
toko 特科
tokw 特快
tokx 廷孔
tola 秃噜
tolb 特录
tolc 透漏
told 秃岭
tolf 颓龄
tolh 颓老 特勒
toli 特留
tolj 透露
tolm 特聋
tolr 透亮
tols 特例
tolt 特兰
tolv 秃驴
tolx 透了
toma 特骂
tomf 甜梦
tomh 特卖
tomi 特么
tomk 透明
tomm 特码
tomo 舔毛
tomr 颓靡
toms 特命
tomt 甜美
tomw 甜蜜
tonb 特尼
tonc 特难 特浓
tonn 甜妞
tono 特牛
tonp 甜腻
tonq 特闹
tonv 特纳
too 秃
topa 甜品
topb 透辟
topc 特派
toph 特聘
topj 特批
topu 特贫 颓圮
toqb 特强
toqd 特遣
toqe 筒裙
toqf 特权
toqh 特勤
toqk 特区
toqo 透气
toqw 特情
torc 甜润
tord 透肉
tori 颓然
torj 特热
tork 特软
torl 特瑞
tors 特任
toru 透入
tory 特锐
tosc 透水
tosd 秃山
tose 透视
tosg 特少
tosh 颓丧
tosi 特色
tosj 颓势
tosm 特殊
toso 舔舐
tosr 透熟 特瘦
toss 甜食 特使 舔食
tost 特首
tosu 特赦
tosv 特骚
tosx 特收
tosy 透射
tota 特听
totj 特提
totk 透题
totn 舔她
toto 甜甜
totr 颓唐
tots 特体
totu 颓塌
totw 秃头 甜头
tou 廷
touo 笤
touu 乇
tovd 特恩
tovi 特尔
tovm 特有
tovu 特爱
tovw 特案
tovy 特奥
towa 甜味
towb 廷尉
towi 特务
towk 筒瓦
towm 特歪
towo 特委
towt 特为
towx 特卫
toxe 甜心 特写 特许 特训 透心
toxf 透析
toxj 特需
toxk 特显
toxl 特型
toxn 特嫌
toxo 甜香
toxr 特效
toxs 透信
toxw 特性
toxy 特向
toyb 特异
toyd 特圆
toyg 特药
toyh 透雨
toyi 甜饮
toyk 特与
toyl 颓运
toym 特硬
toyr 特意
toys 特优
toyu 颓垣
toyv 特约
toyx 舔阴
toyy 特邀
toza 舔嘴
tozb 笤帚
toze 特诊
tozf 特战
tozg 特著
tozh 透支
tozj 特招 特指 特摘 特扎
tozk 特早 特转
tozm 特在
tozo 特制 特种
tozp 特征 特质
tozr 特准
tozs 特作
tozt 透着
tozw 透字
tozx 毯子 秃子 筒子
tp 腿
tpa 膛
tpau 腆
tpbf 徒步
tpbh 脱靶
tpbj 投票表决
tpbl 脱班
tpbo 脱笔
tpbq 填平补齐
tpbr 腿部
tpbs 腾堡
tpby 徒兵
tpbz 图片壁纸
tpc' 捅破窗户纸
tpc; 套牌车 天疱疮
tpcc 图片尺寸
tpcg 豚草
tpch 通盘筹划
tpcl 图片处理
tpco 脱垂
tpcr 脱产
tpct 腿粗
tpcx 腾出
tpcy 脱臭
tpcz 听凭处置
tpd; 突破点
tpdb 谈判代表
tpdd 调皮捣蛋
tpdf 脱档
tpdh 腿带
tpdj 脱掉
tpdl 胎动
tpdm 腾达
tpdo 腿短
tpdp 腿肚
tpdr 脱皮掉肉
tpds 脱党
tpdt 徒弟 脱单 腿断
tpdu 腾地
tpdz 贴片电阻
tpe 脱
tpeo 腾 滕
tpf; 通配符 碳排放 太平斧
tpfb 徒费
tpfc 腿法
tpfe 腾房
tpfj 图片附件
tpfl 碳排放量
tpfm 头皮发麻
tpfn 脱发 腾飞 胎发
tpft 脱粉
tpfx 突破防线
tpg; 太平鼓
tpgc 谈判过程
tpgd 脱岗
tpgf 腿根 腾格
tpgh 徒工
tpgj 太平广记
tpgk 脱轨
tpgo 脱稿
tpgp 脱肛
tpgs 脱光
tpgy 脱钩
tpgz 太平公主
tphc 脱滑 腾欢
tphs 脱货
tphw 胎寒
tpi 徒
tpio 肽 豚
tpj; 太平间 跳皮筋 图片集 太平军
tpjb 脱尽
tpjc 图片精彩
tpjd 徒具
tpje 胎记
tpjf 脱机
tpjg 脱节
tpjh 胎教
tpjm 台澎金马
tpjp 腿脚
tpjr 脱疽
tpjs 特聘教授 图片介绍 蜕皮激素
tpjv 脱缰
tpjw 胎窘
tpjy 脱臼
tpjz 特派记者
tpk; 突破口 图片库
tpka 脱口
tpkd 脱困
tpke 脱裤
tpkg 脱苦
tpkl 脱开
tpkp 腿胯
tpks 投票开始
tpku 脱壳
tpkw 腾空
tpl' 图片浏览器
tpl; 突破了
tplc 脱漏
tpld 脱略
tplg 脱落 徒劳
tpli 徒留
tplj 图片链接
tpll 太漂亮了
tplm 腾龙
tplo 脱笼
tplr 脱离
tpls 图片铃声
tplt 脱粒
tplx 脱了
tply 肽链 图片来源
tpm; 太平门
tpmd 脱帽
tpmf 腿模
tpmo 脱毛 胎毛 脱敏 腿毛
tpmp 胎膜
tpmr 脱盲
tpmt 腿美
tpmz 叨陪末座
tpnd 胎内
tpng 突破难关
tpnj 腾挪
tpo 艇
tpoe 朓
tpoo 腯
tpp; 淘票票
tppn 脱皮
tppp 胎盘
tppu 脱贫
tpq; 投票权 踢皮球 太平区
tpqd 脱圈
tpqh 腿勤
tpql 投票权利
tpqo 胎气
tpqr 腿瘸
tpqu 脱去
tpr; 投票日
tprd 腿肉
tpre 腾让
tpri 徒然
tprj 胎热
tprk 腿软
tprs 太平人寿
tps; 投票数 汤普森
tpsc 脱水
tpsf 腿上
tpsh 腿酸
tpsi 脱色
tpsj 徒手 脱手
tpsk 脱式
tpsm 脱砂
tpso 胎生 脱失 徒生
tpsq 腾闪 太仆寺旗
tpss 脱俗 腿伤 太平盛世 图片搜索
tpst 脱羧
tpsw 图片实物
tpsx 徒孙
tpsy 脱身
tpt' 踏破铁鞋无觅处 踏破铁鞋无觅处得来全不费工夫
tpt; 拓扑图 偷拍图
tptc 徒添
tptg 太平天国
tpti 脱兔
tptm 脱碳
tptp 脱胎
tptr 腿疼
tpts 胎体
tptu 脱逃
tptx 踏破铁鞋
tpu 胎 腿
tpva 脱啊
tpvi 胎儿
tpvk 脱欧
tpvm 徒有
tpvp 通盘安排
tpwd 脱网 滕巍
tpwe 脱误
tpwr 脱文
tpws 脱位
tpww 脱完
tpwz 图片网站
tpx; 突破性 投票箱 头皮屑
tpxb 脱屣
tpxd 滕县
tpxe 腾讯
tpxh 脱下
tpxk 脱星
tpxl 徒刑 腿形 头破血流
tpxo 脱卸
tpxr 脱序
tpxs 腾信
tpxv 膛线
tpxx 脱险
tpxy 脱销
tpxz 图片下载
tpy' 太平洋舰队 太平洋数码 太平洋保险 脱排油烟机 太平洋电脑 太平洋战争 太平洋下载
tpy; 太平洋 特派员 贪便宜 讨便宜
tpya 腾跃
tpyc 脱羽
tpyd 挺便宜的
tpyg 脱药
tpyi 脱颖
tpyl 腾云
tpym 胎压
tpyo 脱氧
tpyr 脱衣
tpys 天蓬元帅
tpyt 停牌一天
tpyu 腾越
tpz' 糖皮质激素
tpz; 谈判桌 图片展 投票站 天平座 天枰座 汤婆子
tpzd 脱罪
tpze 脱证
tpzf 脱贫致富
tpzl 图片展览
tpzm 脱在
tpzo 徒长
tpzp 脱脂
tpzr 胎痣
tpzs 图片展示
tpzt 滕州
tpzu 徒增
tpzx 腿子
tpzy 逃跑主义
tq 阗
tqa 阘
tqb' 特区办公室 图穷匕首见
tqb; 淘气包 淘气堡 特区报
tqbd 特遣部队
tqbg 听取报告
tqbh 天气变化
tqbm 提取编码
tqbn 提前半年
tqbr 天气不热
tqbs 提前报送
tqbx 图穷匕见
tqbz 套期保值
tqc; 听清楚 通勤车
tqcf 提前出发
tqch 通前彻后
tqck 提取存款
tqcl 掏钱出来 他去处理
tqcq 跳墙出去
tqd; 跆拳道 特遣队 他强调
tqdb 通权达变
tqdd 通衢大道
tqdg 跆拳道馆
tqdh 提前订好 天气都好
tqdl 通情达理
tqdv 偷情盗爱
tqf' 弹琴复长啸
tqff 提取方法
tqfh 提前返回
tqfk 提前付款
tqfx 提前返校
tqfy 探亲访友
tqg; 淘气鬼
tqgc 天气过程 提前给出
tqgd 挺奇怪的
tqgh 提前赶回
tqgn 淘气姑娘 提前给你
tqgs 提起公诉
tqgt 提前给他
tqgw 提前给我
tqgy 提取工艺
tqgz 拖欠工资 提前告知
tqh' 通窍活血汤 碳氢化合物
tqhb 听取汇报
tqhd 提前还贷
tqhk 提前还款
tqhl 兔起鹘落
tqhn 天气回暖
tqhq 提前回去
tqhr 天气很热
tqhw 提取货物
tqhx 天气好像
tqhz 天气好转
tqi 闼 阗
tqj; 探亲假
tqjc 特权阶层
tqjh 提取精华
tqjj 特权阶级
tqjr 提前进入
tqjs 特区建设
tqjw 天气降温
tqk; 通气孔
tqkl 提前考虑
tqky 投亲靠友
tql' 听起来更像 提起来话长
tql; 听起来 太强了 提前量 听取了 跳起来
tqld 提前来到
tqlj 特轻量级 提前了解
tqlk 提前离开
tqlx 听起来像 提前联系
tqlz 同气连枝
tqmd 挑起矛盾
tqmg 拖欠民工
tqmh 台前幕后
tqmr 天气闷热
tqn' 拖欠农民工
tqn; 她岂能
tqnh 天气暖和
tqp; 提前批
tqpp 听取批评
tqq; 推铅球 体前屈
tqqb 套取情报
tqqh 天琪期货
tqqk 天气情况
tqql 天气晴朗
tqqp 提前取票
tqqr 提前确认
tqrm 途穷日暮
tqrz 同情弱者
tqs' 谈钱伤感情 提前说一声
tqsb 他去上班 提前申报
tqsd 挑起事端 铁器时代 铜器时代 提前说的
tqsf 提前释放 挑起是非
tqsh 投其所好
tqsj 陀枪师姐 天气数据
tqsr 同期收入
tqss 提起诉讼
tqsv 谈情说爱
tqsx 特权思想 陶情适性 提前上线
tqsy 提请审议
tqt; 抬起头 铜雀台
tqtb 铜墙铁壁
tqtl 抬起头来
tqtp 提前投票
tqts 提前天数
tqtx 提前退休
tqtz 提前通知
tqvl 天气恶劣
tqvp 提前安排
tqw' 天气晚来秋
tqw; 提取物
tqwc 提前完成
tqwg 提前完工
tqwj 提取文件
tqwn 天气温暖
tqws 提起往事
tqwy 贪求无厌 拖欠物业
tqx; 同情心
tqxb 提前下班 同期相比
tqxf 提前消费
tqxj 提取现金
tqxq 同气相求
tqxs 天气形势
tqxt 天气系统
tqxw 偷窃行为
tqxx 天气现象 提前学习
tqxy 提前相遇
tqy' 听其言而观其行
tqy; 头窍阴 听其言 天球仪
tqyb 天气预报
tqyc 天气异常
tqyd 提前预定
tqyh 提前约好
tqyj 听取意见
tqym 吐气扬眉
tqyr 天气炎热
tqyt 提前一天
tqyx 台球游戏
tqyy 天气原因
tqz; 天琴座 提前走
tqzd 提前知道 提前走的
tqzf 特区政府
tqzh 天气真好 提前做好 天气转好
tqzk 天气状况
tqzl 铁青着脸 提前做了
tqzq 停妻再娶
tqzr 听其自然
tqzy 退却主义
tqzz 同期增长
tr 疼
tra 童
trb; 突然变
trba 疼吧 痛吧 痛别
trbb 听人摆布 退让半步
trbe 痛扁
trbm 疼不 痛不
trbs 童便
trbx 突然不行
trbz 投入不足
trca 痰喘
trcc 投入产出
trce 唐初
trcf 痛楚
trch 唐朝
trci 痛处
trck 童车
trcp 痛斥 痛彻 痛惩 投入产品
trcr 童床
trcx 痛陈
trcz 泰然处之
trd' 土壤地理学
trd; 投入到 天然呆 天然的 投入的 土壤带
trdb 体弱多病
trdf 痛点
trdi 痰多
trdj 痛打
trdp 痛得
trdq 铜仁地区
trds 唐代 瘫倒
trdw 痛悼
trdx 突然断线
trdy 疼的 痛的
tre 痰
treu 遆
trfd 唐帆
trfi 痛风
trfj 突然发觉
trfl 土壤肥力
trfr 瘫废
trfs 突然发生
trfu 唐坊
trfw 土壤肥沃
trfx 突然发现
trg; 天然钙
trgb 突然改变
trgh 童工
trgi 唐狗
trgj 天人共鉴
trgl 土壤改良
trgm 痛感
trgs 痛入骨髓
trgt 突然给他
trgx 天人关系
trgy 唐钢
trh' 土壤含水量 突然好想你
trh; 它融合
trhc 唐河
trhe 童话
trhf 痰核
trhg 唐花
trhl 唐璜
trhr 瘫痪
trht 痰火
trhw 痛恨
trhx 讨人欢心
trhy 天人合一
trhz 投入海中
tri 亭
trj; 突然间 唐人街 天然碱
trje 童军
trjg 土壤结构
trjj 唐捐
trjl 痛击
trjm 痰厥
trjo 痰积
trjp 痛脚
trjr 痛疚
trjt 土壤胶体
trjv 痛经
trjw 痛觉
trjy 唐锦
trjz 投入机制 天人交战 投入救灾
trk' 天然矿泉水
trk; 突然看
trka 痛哭
trke 童裤
trkf 唐卡
trkg 痛苦
trkj 突然看见
trkw 痛快
trl; 天然林 投入了
trld 亭里
trlg 唐莉
trlh 唐老 童老
trlm 唐龙
trlp 唐律
trlr 童亮
trls 拖人落水
trlw 疼怜
trlx 痛了
trm; 甜如蜜
trma 痛骂
trmb 突然明白
trmd 童帽 坦然面对
trmg 童蒙
trml 唐末
trmq 唐门
trmy 天然免疫
trnd 童男
trnj 突然尿急
trnn 童女
trno 童年
trnr 痰凝
trns 疼你
trnv 唐纳
trnw 童宁
tro 庭 疼
trpj 痛批
trps 童仆
trpz 天然屏障
trq' 天然去雕饰
trq; 天然气 托人情 天然漆
trqd 天然气的
trqj 天然气井
trqk 痛切
trql 突如其来
trqo 痰气
trqq 痰阙
trqt 庭前
trqu 童趣
trr; 太让人
trrd 泰然若定
trrj 痰热
trrk 瘫软
trrl 投入人力 天然染料
trrs 唐人
trry 土壤溶液
trs; 土壤水 天然丝 天然色
trsc 痰湿
trsd 唐山
trse 唐诗
trsf 庭上
trsh 踏入社会
trsj 天然水晶
trsm 疼死
trso 痛失
trsq 土壤墒情
trss 唐僧
trsu 童声
trsv 唐书
trsw 唐宋 庭审 唐室 突然死亡
trsx 童孙 铁人三项
trsy 童叟 童锁 投入使用 退如山移
trsz 坦然受之
trt; 同仁堂
trtc 亭台
trtf 痰桶
trtn 疼她
trtq 突然提前
trtr 疼痛
trts 疼他
trtw 唐突
tru 痛
trua 鄌
true 瘫
trui 唐 庹
trv' 土壤有机质 突然有一天 天若有情天亦老
trva 疼啊
trvd 唐恩
trvh 痛恶
trvi 童儿
trvk 痛殴
trvl 天然饵料 同日而论
trvq 天若有情
trvu 疼爱
trvy 同日而语
trw; 他认为 她认为
trwd 土壤温度
trwe 童袜
trwi 庭外
trwl 唐王
trwo 疼我
trws 天人五衰
trx; 讨人嫌 土壤学 突然性 讨人喜
trxc 痰涎
trxd 唐县
trxe 痛心 童心 庭训
trxg 天人相隔
trxh 童鞋
trxj 突然袭击 天然橡胶 土壤学家
trxk 童星
trxl 突然下来
trxo 唐笑
trxq 突然想起
trxs 拖人下水
trxw 痛惜
trxz 替人消灾
try; 太容易 讨人厌 挺容易
tryc 痰液
tryd 庭园
trye 童谣
tryf 唐虞
tryg 天人永隔
tryi 痛饮
tryk 唐尧
tryl 痰盂
tryn 唐嫣
tryq 痛阈
tryr 痛痒
tryu 唐越
tryw 唐寅
tryx 庭院
tryy 投入运营
trz; 投融资 体弱者 同人志
trzb 天壤之别
trzc 痰浊
trzd 唐中 亭中 庭中 土壤质地 突然折断 陶然自得 泰然自得
trzf 童贞
trzh 童真
trzj 痛揍 突然之间 天然杂交 投入资金 天人之际
trzl 痛责
trzo 庭长
trzr 童装 唐装 泰然自若 坦然自若
trzs 瘫坐
trzt 唐州
trzw 唐宗
trzx 童子 亭子 瘫子 突然转向
trzy 天然资源
ts 停
tsa 贪
tsae 倘 傥
tsau 氽 侗 俶 佃
tsb' 同时不知道 唐宋八大家 同时别忘了 天上不会掉馅饼 泰山崩于前而色不变
tsb; 统帅部 调色板 钛酸钡
tsba 偷吧 贪吧 他吧 他别
tsbb 贴身保镖
tsbc 停泊
tsbd 泰山北斗
tsbe 他被
tsbf 停步 贪杯 停板
tsbg 佻薄 妥善保管 退思补过
tsbj 他把 停播 停摆 他拨 他报 同时并举 同时并进
tsbk 他比
tsbl 体表
tsbm 倘不
tsbn 停办
tsbo 停笔
tsbq 停闭
tsbs 他便
tsbt 他并
tsbu 他爸
tsbw 听声辨位
tsby 他白
tsc' 同时承担着
tsc; 唐三彩 投石车 同身寸 跳水池 徒手操 唐师曾
tsca 贪吃 偷吃 他吃
tscb 体层
tscc 体测
tscd 贪财
tscf 他此
tscg 偷菜 偷藏 同室操戈 提示成功
tsch 体裁
tsci 他处
tscj 体操
tsck 停车
tscl 妥善处理
tsco 途程
tscp 停船
tscr 停产
tscs 他从
tsct 他曾
tscu 体彩
tscw 体察
tscx 偷出
tscy 他错 体臭 同声传译 特色产业
tscz 妥善处置 同时存在 同时操作 贴上瓷砖 特殊操作
tsd' 天上掉馅饼 天生的一对 天上掉下来 摊上大事了 烫手的山芋 唐山大地震 天时地利人和
tsd; 同时代 特殊的 天生的 天杀的 特色店
tsdb 他说的吧
tsdc 他对 偷渡
tsdd 停电
tsdf 棠棣
tsdg 傥荡
tsdh 他都
tsdi 贪多
tsdj 停掉
tsdk 停顿
tsdl 天时地利
tsdm 贪大
tsdn 台式电脑
tsdo 他等
tsdp 他得
tsdq 田氏代齐
tsdr 偷盗
tsds 他倒 停当 他当 图书大厦 坦率地说 天生地设 摊上大事
tsdt 堂弟
tsdu 他爹
tsdw 偷惰 通俗读物 特殊地位 胎生动物
tsdx 听说读写 天上地下 提示短信
tsdy 他的
tsdz 唐山地震 天设地造
tse 途 停
tsee 佗
tsei 僮 侂
tseo 倓
tsf; 土石方 提示符 停尸房 讨说法
tsfd 体罚
tsfe 堂房
tsfg 体范
tsfh 特殊符号
tsfn 停发 停飞
tsfp 停服
tsfr 他方 停放 贪腐 他放
tsfs 停付
tsfx 同时发现 提示风险
tsfy 同声翻译
tsfz 胎死腹中
tsg' 图书管理员
tsg; 图书馆 替死鬼 塔什干 听说过 碳酸钙 碳素钢
tsga 他跟
tsgb 体改
tsgd 他国
tsge 他该
tsgf 体格
tsgh 他更 停工 贪功 堂哥 停更 他共 他哥 偷过 偷工
tsgi 偷狗
tsgj 他搞
tsgl 他干
tsgm 体感
tsgo 他管
tsgp 兔死狗烹
tsgq 通俗歌曲
tsgs 堂倌 停供 同生共死 退市公司
tsgu 堂鼓
tsgv 他给
tsgw 贪官
tsgx 图书馆学
tsgy 特殊工艺 铁色高原
tsgz 特殊规则
tsh' 听说还不错 碳水化合物 摊上好事了 同是宦游人
tsh; 特殊化 挺适合 太上皇 讨生活 他死后
tsha 堂号
tshb 兔死狐悲
tshc 偷欢
tshd 他回
tshe 佃户
tshg 他花
tshi 贪狠
tshj 偷换
tshk 倘或
tshm 他还
tshn 停好
tsho 他和
tshp 他很 停航 他行
tshs 体会 他会 停会 堂会
tsht 停火
tshv 停缓
tshy 堂皇
tsi 体
tsia 堂 棠 仝
tsj' 啼时惊妾梦
tsj; 台式机 铁三角 兔斯基 停尸间 投石机 吐绶鸡
tsja 他叫
tsjb 停建
tsjc 偷酒
tsjd 他见
tsje 他讲
tsjf 体检 停机 体校 提速降费
tsjg 体节 偷食禁果 同时兼管
tsjj 他接 妥善解决 特色经济 同时解决
tsjl 他进
tsjn 堂姐
tsjo 体积
tsjp 途径
tsjq 投鼠忌器
tsjr 他将
tsjs 体倦 挑三拣四
tsjt 特殊津贴
tsjv 途经
tsjw 他家
tsjx 同时进行
tsjy 特殊教育
tsjz 塔式建筑 他手机中 痛失荆州
tsk' 塔什库尔干
tska 堂口
tskd 唾手可得
tske 停课
tskf 停卡
tskh 他可 铁树开花
tskl 停刊
tskm 他夸
tsko 偷看 停靠 他靠
tskq 徒手空拳
tskv 通商口岸
tskw 偷窥
tskx 探索科学
tsky 同时可以
tsl; 特斯拉 太帅了 太少了
tsla 他啦
tslb 偷录
tslc 偷漏
tsle 体谅
tslf 贪婪
tslg 停落
tslh 他老
tsli 停留
tslj 他来 偷来 痛失良机 太上老君 同手连击 突施冷箭
tslk 体量
tsln 体力
tslo 棠梨
tslp 他律
tslr 贪恋
tsls 他俩 体例 他领 偷税漏税
tslv 他练
tslw 偷懒
tslx 停了
tsly 特色旅游 投诉理由
tslz 天生丽质
tsm' 塔斯马尼亚
tsm; 同事们 碳酸镁 塔斯曼
tsma 他吗
tsmb 吐司面包
tsmc 他没
tsmd 偷瞄 贪墨 同事们的
tsmh 他卖
tsmj 偷摸
tsml 图书目录
tsmm 体面
tsmn 他妈 堂妹 谈什么呢
tsmo 体毛
tsmp 谈什么判
tsmq 同事面前
tsms 他们
tsmu 他买 体貌 停买
tsmv 听说没有
tsmw 他忙
tsmx 头上末下
tsmz 同时满足
tsn; 太思念
tsna 他呢
tsnb 他那
tsnc 他能 体能 倘能
tsnd 体内
tsne 佃农
tsnn 他娘
tsno 他年
tsns 体念 贪念 偷拿 他拿
